Gene Symbol,WM_1,WM_2,WM_3,W3_1,W3_2,W3_3,W12_1,W12_2,W12_3,W24_1,W24_2,W24_3
SPC25,21.05022252,27.75458823,29.45549513,27.81105052,25.84439298,24.39172795,26.33340043,23.69998925,32.60553978,26.75308769,20.22963708,22.50910056
G6PC2,0,0,0,0,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0.029759826,0,0,0.009549902,0,0,0,0,0
DHRS9,0,0,0,0,0,0,0,0.011970283,0,0.119671822,0,0
LRP2,8.640891966,8.033158138,6.642078955,7.607344106,7.307825062,8.567854402,10.37194224,12.77087811,5.439259683,8.611072096,9.437565792,7.645618844
BBS5,0,0,0,0,0,0,0,0,0,0.147751098,0,0
AC093899.2,0,0,0,0,0,0,0,0,0,0,0,0
KLHL41,0,0,0,0,0,0,0,0,0,0,0,0
FASTKD1,15.8095089,14.0181832,15.82184853,9.272089695,9.551250677,12.74010084,15.16256646,15.74276387,14.65040854,12.19975049,16.15892342,13.81351939
PPIG,34.48616181,33.88323836,33.57634715,34.62029476,27.94375565,32.5323823,39.38865957,35.39055977,36.31551224,35.11339864,34.15313285,40.89009575
CCDC173,1.719126408,2.928868151,1.831110575,1.745594808,1.51991846,1.370840517,2.833749719,3.653719991,1.969966111,2.207720338,1.473255844,1.388447911
PHOSPHO2,2.530590288,4.594633793,2.99617382,2.005888278,2.699229582,2.67792958,3.862126633,3.589878109,4.991785305,4.448486344,3.259270526,4.127451891
KLHL23,8.259214626,8.16464814,9.51313297,5.87641772,6.707455671,5.647444886,8.425634488,11.64381051,10.62960924,8.288669406,8.703741529,8.808453719
SSB,74.76600052,85.9149933,82.76455854,84.25219649,61.56197546,69.2712283,77.72665667,68.71557955,91.40335129,87.79220156,77.79672561,74.30174523
METTL5,26.56015705,28.15861012,33.63141886,32.97702949,39.12389241,32.8452431,36.85160455,25.08432264,32.07579135,24.20064996,20.44103202,23.60405696
UBR3,3.087103883,3.847556724,3.137443099,2.241668586,2.886022979,2.558648011,3.140976286,4.384920438,2.909595415,2.943334598,4.037411059,3.735693883
MYO3B,0,0,0,0,0,0,0,0,0,0,0,0.01638918
SP5,0.076163397,0,0.353343106,0,0,0,0.214594639,0.174324504,0,0.653547574,0,0.26209958
ERICH2,0,0,0.605563061,0,0.41125853,0,0,0,0,0,0,0
GAD1,0,0,0,0.069642398,0,0,0,0.032677913,0,0.027224541,0,0.016377249
GORASP2,26.07597951,25.72734081,25.23409058,25.62543947,27.7367886,24.42401392,23.95208377,27.53837494,20.29844863,24.32934874,27.5887542,28.33595865
TLK1,4.796147994,5.256881236,6.114094325,6.975795791,8.711924914,7.33301291,5.640382216,6.519699394,5.482465525,6.763748339,5.574979734,6.020696286
METTL8,2.935776126,3.143264722,3.423033264,3.002721107,3.447178469,3.073110374,3.261878275,3.457764788,2.632066193,2.7730684,2.588751624,3.31624655
DCAF17,3.882970523,3.496346942,3.493514414,3.058495487,3.647616631,4.143243275,4.734142145,4.279567548,2.492837704,3.238148846,3.15495196,3.375854232
CYBRD1,0.060624651,0.055615514,0.14062728,0.066537015,0.023876196,0,0.028468892,0.078051978,0.200238395,0.43350979,0.035357634,0.156469804
DYNC1I2,23.55955303,24.34137627,24.14661746,19.26756996,18.49141422,22.39325651,23.71175537,27.45898701,21.87291353,21.50651762,17.89182145,20.48438013
SLC25A12,0.60706751,0.403758515,0.492862023,0.421971765,0.681393087,0.237198638,0.669924967,0.59052468,0.768619994,0.325572645,0.424866198,0.443931481
HAT1,18.30075191,19.39597179,20.38136637,22.95125233,28.44779429,17.35742515,27.04039938,23.17809882,18.2915071,20.07565321,18.6919305,20.4360471
METAP1D,2.895308352,3.294135537,1.894756874,2.473494082,1.388718301,2.749199459,3.478792954,3.109805386,2.279442331,2.266979111,2.264055029,3.729379801
DLX1,0.429148244,0.196844843,0.149320323,0.157000177,0,0,0.161219896,0.073668315,0.094496165,0.552369257,0,0.110761447
DLX2,0.052827137,0.096924545,0.061269933,0.347874331,0.39529976,0.206410734,0.198457893,0.060455973,0.174483827,0,0.184859712,0.499930681
ITGA6,51.70647102,54.21995833,52.44951946,43.78088709,38.96852408,49.616537,58.09165236,67.23320963,43.58797239,46.17865987,54.03772241,46.65356481
PDK1,1.05420008,1.329757475,1.234908397,1.002741973,1.042107782,1.421076116,1.475233006,1.616627568,1.085204292,1.605655248,1.703086703,1.528209791
RAPGEF4,0.088032879,0.161518248,0.127627788,0.064412136,0.121346938,0.042996204,0.227367771,0.125932276,0,0.062949829,0.077014076,0.075736448
MAP3K20,2.427525447,2.226950115,2.347341297,1.975842501,2.046435142,2.399025544,2.835187232,2.869172391,2.578754385,2.154574128,1.942976181,2.235178155
CDCA7,30.98847395,33.11116394,34.04452746,36.24295201,33.55029107,35.80221461,34.34787026,34.28828736,30.12174544,28.23345456,32.35491366,34.41439443
SP3,10.66351597,10.95902032,11.48373348,8.735370142,9.657822962,10.76714287,12.85776872,15.06769392,8.956477856,10.20883155,12.60082134,11.35562837
OLA1,32.33098746,30.99277519,32.11353029,30.08286047,31.62514047,30.12437768,36.36769352,29.1481288,28.71431721,29.00447705,28.54673373,32.55040468
SP9,0,0.281779462,0,0.269691141,0,0,0,0.035151574,0,0,0,0
